Cycle,Vehicle Type,Start Location,End Location,Distance,Load at End,Fuel Consumed,Wear and Tear Cost
1,Truck 1,D1,R13,1.048601044314189,14500,0.13107513053927364,0.16777616709027027
1,Truck 1,R13,R20,3.632006506183366,13750,0.44113439346356675,0.5617503396230273
1,Truck 1,R20,R6,4.906576678531324,13138,0.5716400013822901,0.7196312461845942
1,Truck 1,R6,R7,3.3653713341651703,12590,0.37945615415967016,0.47161865160812805
1,Truck 1,R7,R1,1.3018916129604698,11990,0.14267826546655255,0.17483536434317137
1,Truck 1,R1,R5,4.406959354796494,11430,0.46859282853865036,0.5636207217494397
1,Truck 1,R5,R11,1.7517546837663514,10980,0.181228500286194,0.21357393104479355
1,Truck 1,R11,R26,1.4939698257461405,10520,0.15127276485886393,0.17497374599138796
1,Truck 1,R26,R14,2.8859054299796556,9820,0.285997499006969,0.3238370679827838
1,Truck 1,R14,R17,0.133416822366009,9410,0.012807195286638519,0.013974967420098221
1,Truck 1,R17,R2,0.4106782600422482,8810,0.03871158110119853,0.041221145887973924
1,Truck 1,R2,R12,5.356772233066304,8160,0.4919585103532393,0.5033937426486842
1,Truck 1,R12,R3,0.7052676315517342,7380,0.06301533519940442,0.06138649465026295
1,Truck 1,R3,R10,1.6334859323431203,6480,0.14135392284035309,0.12858801259405042
1,Truck 1,R10,R23,4.787617877801558,5860,0.3997676918671975,0.3309201477136437
1,Truck 1,R23,R70,11.790655276143147,5210,0.9612992126434787,0.7369945591274543
1,Truck 1,R70,R28,18.33056566011603,4580,1.4584335909496655,1.0186906356181815
1,Truck 1,R28,R24,14.35216030240164,4080,1.1157997539961886,0.7011508713066614
1,Truck 1,R24,R8,21.32972231198121,3680,1.6287203964554986,0.9282695150174224
